Name,Platform,Year,Genre,Publisher,ID,Date
Medieval II: Total War Gold Edition,PC,2008,Strategy,Sega,10132,09/07/2008
Mobile Suit Gundam: One Year War,PS2,2005,Action,Namco Bandai Games,9483,14/05/2005
Kung Fu Panda: Legendary Warriors,Wii,2008,Action,Activision,16730,22/02/2008
Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011,Role-Playing,Ghostlight,10074,14/09/2011
Harvest Moon: A Wonderful Life Special Edition,PS2,2004,Simulation,505 Games,13003,18/07/2004
Spyborgs,Wii,2009,Action,Capcom,15153,01/02/2009
Death Jr. and the Science Fair of Doom,DS,2007,Platform,Konami Digital Entertainment,16371,05/09/2007
Balls of Fury,DS,2007,Sports,Zoo Digital Publishing,20677,25/10/2007
Nobunaga no Yabou: Souzou,PS3,2013,Strategy,Tecmo Koei,12932,24/08/2013
Crash Bandicoot Purple: Ripto's Rampage,GBA,2004,Platform,Vivendi Games,8135,17/01/2004
Ephemeral Fantasia,PS2,2000,Role-Playing,Konami Digital Entertainment,16255,03/10/2000
Dream Salon,DS,2009,Misc,Zoo Digital Publishing,12776,05/05/2009
Naruto Shippuden: Clash of Ninja Revolution 3,Wii,2009,Fighting,Nintendo,8830,22/02/2009
NHL 14,X360,2013,Sports,Electronic Arts,8727,23/12/2013
Sprung - A Game Where Everyone Scores,DS,2004,Adventure,Ubisoft,17303,15/01/2004
Wolfenstein,X360,2009,Shooter,Activision,8582,25/03/2009
Hard Rock Casino,PSP,2007,Misc,Oxygen Interactive,14219,26/03/2007
Virtual Chess 64,N64,1998,Misc,Titus,17510,21/07/1998
Rhapsody: A Musical Adventure,DS,2008,Role-Playing,Nippon Ichi Software,17715,15/12/2008
Assassin's Creed IV: Black Flag,XOne,2013,Action,Ubisoft,5731,01/11/2013
MLB 10: The Show,PS3,2010,Sports,Sony Computer Entertainment,7878,25/07/2010
Hey Arnold! The Movie,GBA,2002,Platform,THQ,11490,01/06/2002
Simple DS Series Vol. 41: The Bakudan Shori-Han,DS,2008,Action,D3Publisher,21259,12/05/2008
Rurouni Kenshin: Enjou! Kyoto Rinne,PS2,2006,Action,Banpresto,14350,15/07/2006
Formula 1 Championship Edition,PS,1997,Racing,Psygnosis,10261,11/06/1997
The Idolm@ster 2,PS3,2011,Misc,Namco Bandai Games,13700,27/09/2011
Monster Jam: Urban Assault,Wii,2008,Racing,Activision,9644,13/04/2008
Elf Bowling 1 & 2,GBA,2005,Sports,Ignition Entertainment,19298,14/02/2005
Barbie and Her Sisters Puppy Rescue,WiiU,2015,Action,Namco Bandai Games,21104,17/10/2015
Captain Tsubasa: Aratanaru Densetsu Joshou,PS,2002,Sports,Konami Digital Entertainment,16084,01/05/2002
Killer7,GC,2005,Action,Capcom,13818,23/10/2005
Shaun White Snowboarding: World Stage,Wii,2009,Sports,Ubisoft,10805,09/11/2009
Foster's Home for Imaginary Friends: Imagination Invaders,DS,2007,Adventure,Midway Games,17528,15/05/2007
Peter Jackson's King Kong: The Official Game of the Movie,XB,2005,Action,Ubisoft,8783,15/02/2005
Pokemon Ranger: Guardian Signs,DS,2010,Role-Playing,Nintendo,6481,28/01/2010
Yoru no Nai Kuni,PSV,2015,Role-Playing,Tecmo Koei,16764,14/04/2015
Hakuouki: Bakumatsu Musou Roku,PSP,2012,Action,Idea Factory,18396,10/12/2012
Pirates of the Caribbean: At World's End,PS3,2007,Action,Disney Interactive Studios,7787,17/02/2007
Junior Mystery Quest,DS,2011,Puzzle,GSP,16017,01/02/2011
Nobunaga no Yabou: Reppuuden,PS,1999,Strategy,Tecmo Koei,12637,06/01/1999
WWE SmackDown! Shut Your Mouth,PS2,2002,Sports,THQ,5466,08/12/2002
The Bureau: XCOM Declassified,X360,2013,Shooter,Take-Two Interactive,11943,13/07/2013
Medal of Honor: Frontline,XB,2002,Shooter,Electronic Arts,6268,14/07/2002
NHL Powerplay '96,PS,1996,Sports,Virgin Interactive,14963,05/10/1996
Lost Planet 2,PS3,2010,Shooter,Capcom,7160,19/04/2010
Madden Football 64,N64,1997,Sports,Electronic Arts,7419,15/10/1997
Blazblue: Continuum Shift Extend,PSV,2011,Fighting,PQube,14784,12/06/2011
Mystery Trackers: The Void,PC,2011,Puzzle,Focus Home Interactive,19642,24/11/2011
Combat Elite: WWII Paratroopers,PS2,N/A,Shooter,Unknown,17531,01/01/2000
Goosebumps HorrorLand,PS2,2008,Adventure,Scholastic Inc.,16870,07/06/2008
Call of Duty 4: Modern Warfare,PC,2007,Shooter,Activision,6769,15/07/2007
The Sims 3: Outdoor Living Stuff,PC,2011,Simulation,Electronic Arts,9207,20/09/2011
Gekijouban Madoka Magicka: The Battle Pentagram,PSV,2013,Action,Namco Bandai Games,16525,26/05/2013
SSX 3,PS2,2003,Sports,Electronic Arts,6083,21/08/2003
SpongeBob's Truth or Square (US sales),X360,2009,Action,THQ,11668,13/11/2009
Rock Revolution,PS3,N/A,Misc,Unknown,11401,01/01/2000
Dennou Senki Virtual-On Force,X360,2010,Fighting,Sega,19464,28/08/2010
Age of Empires: Mythologies,DS,2008,Strategy,THQ,12229,02/02/2008
Katekyoo Hitman Reborn! Kindan no Yami no Delta,Wii,2008,Action,Marvelous Interactive,21458,12/04/2008
SBK Superbike World Championship,PS3,2008,Racing,Black Bean Games,11753,11/04/2008
Gacharoku,PS2,2002,Misc,Sony Computer Entertainment,19163,12/12/2002
Dragon Ball Z: The Legacy of Goku I & II,GBA,2005,Role-Playing,Atari,16687,15/12/2005
Littlest Pet Shop: Spring,DS,2009,Simulation,Electronic Arts,14247,18/02/2009
Cookie & Cream,DS,2007,Platform,505 Games,20735,12/08/2007
Cars 2,3DS,2011,Racing,Disney Interactive Studios,12131,10/03/2011
Far Cry 4,PC,2014,Shooter,Ubisoft,8247,05/06/2014
UK Truck Simulator,PC,2010,Simulation,N/A,19698,28/03/2010
Unreal Anthology,PC,2006,Shooter,Midway Games,20080,05/09/2006
Hearts of Iron III,PC,2009,Strategy,Paradox Interactive,16991,03/01/2009
Rugby World Cup 2015,PC,2015,Sports,Ubisoft,21459,18/01/2015
Tiger Woods PGA Tour 12: The Masters,PS3,2011,Sports,Electronic Arts,7309,05/05/2011
Mitsukete! Keroro Gunsou: Machigai Sagashi Daisakusen de Arimasu!,DS,2007,Action,Namco Bandai Games,17292,03/07/2007
Nano Diver,PSP,2011,Action,Takara Tomy,20731,10/03/2011
Farming Simulator 2015,XOne,2015,Simulation,Koch Media,12832,05/04/2015
Skylanders: SuperChargers,3DS,2015,Action,Activision,15086,03/01/2015
Kanon,DC,2000,Adventure,NEC Interchannel,17272,23/06/2000
Street Fighter: The Movie,PS,1995,Fighting,Acclaim Entertainment,13235,13/06/1995
Super Robot Wars OG: The Moon Dwellers,PS4,2016,Misc,Namco Bandai Games,16065,12/05/2016
